,spend,technology,domain,link,description
88,unknown,jAlbum,Widgets,http://jalbum.net/,Create web galleries of pictures.
89,unknown,Icegram,Widgets,https://www.icegram.com/,WordPress plugins for all stages of customer communication.
90,unknown,LPTracker,Widgets,http://lptracker.ru,Call tracking and CRM sytem from Russia.
91,unknown,Velocity,Frameworks,https://1.envato.market/c/1266756/275988/4415?u=http%3a%2f%2fthemeforest.net%2fitem%2fvelocity-responsive-multipurpose-wordpress-theme%2f6602373,A wordpress theme.
92,unknown,ShulCloud,Content Management System,https://shulcloud.com,Synagogue website builder system.
93,unknown,Grapeshot,Advertising,http://grapeshot.co.uk/,Grapeshot provides a blend of contextual and personal targeting that chooses an advert and content for each page view. Now owned by Oracle.
94,unknown,Ad Fusion,Advertising,http://adfusion.com,Adfusion educates consumers and drives conversions on your Web site.
