,spend,technology,domain,link,description
78,unknown,jQuery,JavaScript Libraries and Functions,http://jquery.com,"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript."
79,unknown,jQuery UI,JavaScript Libraries and Functions,http://jqueryui.com/,"jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications."
80,unknown,TrustAsia,SSL Certificates,https://trustasia.com,SSL certificate provider from China.
81,unknown,nginx,Web Servers,http://nginx.net/,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.
